OBJECTID,Node,NODE_1,DATETAKEN,ON_ST,FRM_ST,TO_ST,CLASS,Dir1,Count1,Dir2,Count2,TotalVolume,Shape_STLength__,ShapeSTLength
45,157,157,2016-11-08T07:00:00.000Z,NB Price Rd,University,Apache,Null,North Bound,5755,Null,0,5755,2628.18996714,2628.18996714201
46,43,43,2016-03-17T00:00:00.000Z,Apache Blvd,Price,Tempe Canal,Arterial,East Bound,9114,West Bound,8792,17906,1801.16875156,1801.16875156258
47,44,44,2018-03-29T00:00:00.000Z,Apache Blvd,McClintock,Price,Arterial,East Bound,7636,West Bound,9255,16891,5223.41685984,5223.41685984097
48,45,45,2018-03-29T00:00:00.000Z,Apache Blvd,Rural,McClintock,Arterial,East Bound,6751,West Bound,9026,15777,5260.336889,5260.33688899939
49,46,46,2018-01-18T07:00:00.000Z,Rural Rd,University,Apache,Arterial,North Bound,19514,South Bound,19180,38694,2641.49724346,2641.49724346026
50,39,39,2016-11-08T07:00:00.000Z,McAllister Ave,Terrace,University,Collector,North Bound,11192357,South Bound,1244,2363,1303.50035861,1303.50035861131
51,48,48,2016-03-23T00:00:00.000Z,Apache Blvd,Mill,Rural,Arterial,East Bound,12405,West Bound,9322,21727,3277.19876056,3277.1987605567
52,49,49,2016-03-23T00:00:00.000Z,Mill Ave,University,Apache,Arterial,North Bound,12806,South Bound,14288,27094,2620.87920829,2620.87920828655
53,50,50,2018-02-28T07:00:00.000Z,Hardy Dr,University,Broadway,Collector,North Bound,3941,South Bound,4899,8840,5280.64032334,5280.64032333717
54,51,51,2018-01-10T00:00:00.000Z,13th St,Priest,Hardy,Collector,East Bound,1190,West Bound,1097,2287,2636.50321104,2636.50321104275
55,52,52,2016-10-06T07:00:00.000Z,Priest Dr,University,Broadway,Arterial,North Bound,14009,South Bound,16245,30254,5278.4976948,5278.49769480315
56,53,53,2018-01-10T00:00:00.000Z,52nd St,University,Broadway,Collector,North Bound,5154,South Bound,5350,10504,4626.91502359,4626.91502358792
57,54,54,2018-01-10T00:00:00.000Z,14th St,52nd,Priest,Collector,East Bound,2043,West Bound,2427,4470,2683.20832386,2683.20832386263
58,55,55,2018-03-20T07:00:00.000Z,Broadway Rd,I-10,Priest,Arterial,East Bound,17382,West Bound,18369,35751,2843.84097937,2843.84097936829
59,56,56,2018-03-20T07:00:00.000Z,Broadway Rd,Priest,Mill,Arterial,East Bound,15324,West Bound,16186,31510,6408.27123945,6408.27123945159
60,57,57,2018-02-28T07:00:00.000Z,Roosevelt St,13th,Broadway,Collector,East Bound,1170,West Bound,1211,2381,2646.29721514,2646.29721513931
61,58,58,2018-01-10T00:00:00.000Z,13th St,Hardy,Mill,Collector,East Bound,1409,West Bound,1627,3036,3768.22996195,3768.22996195437
62,59,59,2016-03-23T00:00:00.000Z,Mill Ave,Apache,Broadway,Arterial,North Bound,12074,South Bound,13807,25881,2691.85246398,2691.85246398195
63,60,60,2018-03-29T07:00:00.000Z,College Ave,Apache,Broadway,Collector,North Bound,3711,South Bound,3996,7707,2621.43421443,2621.43421442783
64,61,61,2018-01-18T07:00:00.000Z,Rural Rd,Apache,Broadway,Arterial,North Bound,21538,South Bound,21974,43512,2641.96191906,2641.96191906116
65,62,62,2018-03-22T07:00:00.000Z,Broadway Rd,Mill,Rural,Arterial,East Bound,15858,West Bound,16366,32224,4139.9300652,4139.9300651982
66,63,63,2018-01-10T07:00:00.000Z,Broadway Rd,Rural,McClintock,Arterial,East Bound,15548,West Bound,14673,30221,5248.69225787,5248.69225787114
67,64,64,2017-03-14T07:00:00.000Z,McClintock Dr,Apache,Broadway,Arterial,North Bound,15698,South Bound,14599,30288,2632.26768258,2632.26768257972
68,65,65,2016-11-15T07:00:00.000Z,Broadway Rd,McClintock,Price,Arterial,East Bound,11864,West Bound,15205,27069,5223.05255094,5223.05255094069
69,66,66,2016-09-21T07:00:00.000Z,SB Price Rd,Apache,Broadway,Arterial,Null,0,South Bound,11879,11879,2674.59040422,2674.59040421562
70,158,158,2016-10-06T07:00:00.000Z,NB Price Rd,Apache,Broadway,Null,North Bound,12490,Null,0,12490,2656.6945526,2656.69455260098
71,67,67,2018-03-21T07:00:00.000Z,Broadway Rd,Price,Tempe Canal,Arterial,East Bound,14265,West Bound,16283,30548,581.97011741,581.970117405679
72,68,68,2016-09-21T07:00:00.000Z,SB Price Rd,Broadway,Southern,Arterial,Null,0,South Bound,6793,6793,5284.56129174,5284.5612917448
73,159,159,2016-09-22T07:00:00.000Z,NB Price Rd,Broadway,Southern,Null,North Bound,13739,Null,0,13739,5271.36628571,5271.36628570589
74,69,69,2016-10-06T07:00:00.000Z,Southern Ave,Price,Tempe Canal,Arterial,East Bound,13881,West Bound,14363,28244,3113.54577208,3113.54577208309
75,70,70,2018-01-17T07:00:00.000Z,Southern Ave,McClintock,Price,Arterial,East Bound,13287,West Bound,13279,25566,5198.27308751,5198.27308751184
76,71,71,2017-03-14T07:00:00.000Z,McClintock Dr,Broadway,Southern,Arterial,North Bound,14953,South Bound,15928,30881,5293.2629162,5293.26291620182
77,72,72,2018-03-29T07:00:00.000Z,Dorsey Lane,Broadway,Southern,Collector,North Bound,2612,South Bound,1814,4426,5632.28159508,5632.28159508106
78,73,73,2018-01-17T07:00:00.000Z,Southern Ave,Rural,McClintock,Arterial,East Bound,14075,West Bound,15312,29387,5250.52186148,5250.52186147847
79,74,74,2018-01-16T07:00:00.000Z,Rural Rd,Broadway,Southern,Arterial,North Bound,19426,South Bound,19293,38719,5283.6669571,5283.66695710469
80,75,75,2018-03-23T00:00:00.000Z,Alameda Dr,Mill,Rural,Collector,East Bound,1057,West Bound,937,1994,4106.55063289,4106.55063289404
81,76,76,2018-02-22T07:00:00.000Z,College Ave,Broadway,Southern,Collector,North Bound,2329,South Bound,2399,4728,5296.56891088,5296.56891088284
82,77,77,2018-01-18T07:00:00.000Z,Mill Ave,Broadway,Southern,Arterial,North Bound,14191,South Bound,15576,29767,5255.83275678,5255.83275677834
83,78,78,2018-02-28T07:00:00.000Z,Roosevelt St,Broadway,Southern,Collector,North Bound,2232,South Bound,2771,5003,5259.2337116,5259.23371159858
84,79,79,2016-11-15T07:00:00.000Z,Hardy Dr,Broadway,Southern,Collector,North Bound,6405,South Bound,6637,13042,5250.55837926,5250.55837926261
85,80,80,2016-03-23T00:00:00.000Z,Alameda Dr,Priest,Roosevelt,Collector,East Bound,1910,West Bound,1570,3480,3948.42859766,3948.42859766246
86,81,81,2018-01-10T07:00:00.000Z,Priest Dr,Broadway,Southern,Arterial,North Bound,16844,South Bound,17138,33982,5288.12008483,5288.1200848332
87,82,82,2018-01-10T07:00:00.000Z,Broadway Rd,48th,I-10,Arterial,East Bound,14761,West Bound,13133,27894,1503.0135476,1503.01354760091
88,83,83,2018-01-10T00:00:00.000Z,48th St,Broadway,Southern,Arterial,North Bound,16798,South Bound,16563,33361,5281.85795027,5281.85795027126
89,84,84,2018-01-18T07:00:00.000Z,Southern Ave,48th,Priest,Arterial,East Bound,12610,West Bound,12985,25595,5333.78749884,5333.78749884408
90,85,85,2018-01-17T07:00:00.000Z,Southern Ave,Priest,Mill,Arterial,East Bound,12996,West Bound,15821,28817,6464.30271033,6464.30271033364
91,86,86,2018-01-17T07:00:00.000Z,Southern Ave,Mill,Rural,Arterial,East Bound,14053,West Bound,15952,30005,4044.15503042,4044.15503041939
92,87,87,2018-01-09T07:00:00.000Z,48th St,Southern,Baseline,Arterial,North Bound,8852,South Bound,11103,19955,5313.96640322,5313.96640321796
93,88,88,2018-01-18T07:00:00.000Z,Priest Dr,Superstition,Baseline,Arterial,North Bound,11453,South Bound,13241,24694,3102.35326377,3102.35326376885
94,89,89,2018-02-22T07:00:00.000Z,Mill Ave,Southern,Superstition,Arterial,North Bound,16356,South Bound,18184,34540,2488.83989418,2488.83989418322
95,90,90,2016-03-17T00:00:00.000Z,College Ave,Southern,Superstition,Collector,North Bound,793,South Bound,1067,1860,2502.77810565,2502.77810565169
96,91,91,2018-01-16T07:00:00.000Z,Rural Rd,Southern,Superstition,Arterial,North Bound,21816,South Bound,21972,43788,2502.07257355,2502.07257354649
97,92,92,2017-03-14T07:00:00.000Z,McClintock Dr,Southern,Superstition,Arterial,North Bound,17913,South Bound,17711,35624,2444.37806777,2444.37806776894
98,93,93,2016-09-21T07:00:00.000Z,SB Price Rd,Southern,Baseline,Arterial,Null,0,South Bound,12194,12194,5336.06577388,5336.0657738754
